,title,link,pubDate,img
0,Kejati Sumut Tangkap Buron Kasus Korupsi Alat Tangkap Ikan,https://m.detik.com/read/2020/10/23/014038/5225020/10/kejati-sumut-tangkap-buron-kasus-korupsi-alat-tangkap-ikan,"Fri, 23 Oct 2020 01:47:43 +0700","<description>&lt;img src=""https://akcdn.detik.net.id/visual/2020/10/23/buronan-kasus-korupsi-di-sumut-ditangkap_169.jpeg"" align=""left"" hspace=""7"" width=""100"" /&gt;Tim Intelijen Kejaksaan Agung bersama Kejati Sumut menangkap buronan, Boy MF Tampubolon. Boy adalah terpidana kasus korupsi dengan kerugian negara Rp 492 juta.</description>"
1,KPK Bantu Tertibkan 4.792 Aset Milik Pemda dan PLN di Bali,https://m.detik.com/read/2020/10/23/004343/5225019/10/kpk-bantu-tertibkan-4792-aset-milik-pemda-dan-pln-di-bali,"Fri, 23 Oct 2020 01:05:41 +0700","<description>&lt;img src=""https://akcdn.detik.net.id/visual/2019/09/11/57c90224-fc9a-4969-a41f-72da091a4b21_169.jpeg"" align=""left"" hspace=""7"" width=""100"" /&gt;KPK dorong pensertifikasian atas 4.792 aset Barang Milik Daerah di Bali hingga triwulan ke 3 tahun 2020. 3.930 sertifikat milik pemda, dan 862 milik PLN.</description>"
2,MUI Dukung Azerbaijan dan Armenia Hentikan Konflik Bersenjata,https://m.detik.com/read/2020/10/23/002009/5225014/10/mui-dukung-azerbaijan-dan-armenia-hentikan-konflik-bersenjata,"Fri, 23 Oct 2020 00:31:15 +0700","<description>&lt;img src=""https://akcdn.detik.net.id/visual/2020/10/23/wakil-ketua-umum-majelis-ulama-indonesia-mui-kh-muhyiddin-junaidi-bersama-dubes-azerbaijan_169.jpeg"" align=""left"" hspace=""7"" width=""100"" /&gt;MUI meminta agar Azerbaijan dan Armenia berdamai dan menghentikan konflik senjata. Sikap serupa sebelumnya sudah disuarakan pemerintah Indonesia.</description>"
3,"Demo Tolak Omnibus Law di Makassar Ricuh, Kapolda: Disusupi Aliansi Makar",https://m.detik.com/read/2020/10/23/000823/5225009/10/demo-tolak-omnibus-law-di-makassar-ricuh-kapolda-disusupi-aliansi-makar,"Fri, 23 Oct 2020 00:13:45 +0700","<description>&lt;img src=""https://akcdn.detik.net.id/visual/2020/10/22/aksi-massa-tolak-omnibus-law-di-makassar-berakhir-ricuh_169.png"" align=""left"" hspace=""7"" width=""100"" /&gt;Kapolda Sulsel Irjen Merdysyam menyebut aksi mahasiswa yang berakhir ricuh di Makassar telah disusupi kelompok Aliansi Makar.</description>"
4,"Demo Tolak Omnibus Law di Makassar Ricuh, Polisi Amankan 13 Orang",https://m.detik.com/read/2020/10/23/000139/5225007/10/demo-tolak-omnibus-law-di-makassar-ricuh-polisi-amankan-13-orang,"Fri, 23 Oct 2020 00:07:06 +0700","<description>&lt;img src=""https://akcdn.detik.net.id/visual/2020/10/22/aksi-massa-tolak-omnibus-law-di-makassar-berakhir-ricuh-1_169.png"" align=""left"" hspace=""7"" width=""100"" /&gt;Posisi mengamankan 13 orang diduga terlibat di insiden demo ricuh yang berujung perusakan kantor DPD Nasdem Makassar hingga pembakaran mobil ambulans NasDem.</description>"
5,"Demo di Makassar Ricuh, Kantor NasDem Dirusak-Kampus UNM Diserang",https://m.detik.com/read/2020/10/22/233337/5225005/10/demo-di-makassar-ricuh-kantor-nasdem-dirusak-kampus-unm-diserang,"Thu, 22 Oct 2020 23:43:16 +0700","<description>&lt;img src=""https://akcdn.detik.net.id/visual/2020/10/22/aksi-massa-tolak-omnibus-law-di-makassar-berakhir-ricuh_169.png"" align=""left"" hspace=""7"" width=""100"" /&gt;Unjuk rasa massa mahasiswa yang menolak omnibus law Undang-Undang Cipta Kerja di Kota Makassar berakhir ricuh hingga malam ini.</description>"
6,Menaker Kunjungi Pekerja Penerima Subsidi Upah di Malang,https://m.detik.com/read/2020/10/22/232932/5225001/10/menaker-kunjungi-pekerja-penerima-subsidi-upah-di-malang,"Thu, 22 Oct 2020 23:32:12 +0700","<description>&lt;img src=""https://akcdn.detik.net.id/visual/2020/10/22/ida-fauziyah-1_169.jpeg"" align=""left"" hspace=""7"" width=""100"" /&gt;Total program bantuan subsidi gaji/upah (BSU) yang telah disalurkan kepada pekerja/buruh sebanyak 12.166.471 atau setara dengan 98,09 persen.</description>"
7,Nyanyian Mahasiswa Hina Polisi Berujung Status Tersangka,https://m.detik.com/read/2020/10/22/181917/5225000/10/nyanyian-mahasiswa-hina-polisi-berujung-status-tersangka,"Thu, 22 Oct 2020 23:31:03 +0700","<description>&lt;img src=""https://akcdn.detik.net.id/visual/2020/10/21/mahasiswa-di-palopo-ditahan-karena-orasi-menghina-polisi-dok-istimewa_169.jpeg"" align=""left"" hspace=""7"" width=""100"" /&gt;Seorang mahasiswa di Kota Palopo, Sulawesi Selatan, berinisial RF memaki polisi dengan nyanyian saat orasi. RF lalu ditangkap dan ditetapkan sebagai tersangka.</description>"
